file,species
0012f11c4.png,Loose Silky-bent
00268e97d.png,Fat Hen
0026b7a30.png,Sugar beet
003402ea0.png,Small-flowered Cranesbill
00442de98.png,Loose Silky-bent
0050f38b3.png,Loose Silky-bent
005b4a3e3.png,Cleavers
006196e1c.png,Sugar beet
00626e3be.png,Sugar beet
006a4d00d.png,Scentless Mayweed
006eac3d9.png,Loose Silky-bent
0086c28b2.png,Maize
008753052.png,Sugar beet
008f1b92d.png,Fat Hen
009004da3.png,Loose Silky-bent
009d8d799.png,Loose Silky-bent
00a18f05e.png,Common Chickweed
00aa8d5a4.png,Cleavers
00acffa82.png,Sugar beet
00b6eee9f.png,Common Chickweed
00ba5f88a.png,Common Chickweed
00cc58829.png,Small-flowered Cranesbill
00d030ea0.png,Small-flowered Cranesbill
00d33935c.png,Common Chickweed
00dd0d16a.png,Small-flowered Cranesbill
00df90ed6.png,Common wheat
00e049fe8.png,Small-flowered Cranesbill
0118f1f70.png,Common Chickweed
012db0f43.png,Common wheat
01358344b.png,Scentless Mayweed
01396e759.png,Fat Hen
0140dfc02.png,Loose Silky-bent
01437202b.png,Fat Hen
0150b5b7e.png,Common Chickweed
015215883.png,Scentless Mayweed
0157c4199.png,Fat Hen
01605ed73.png,Cleavers
01642cae8.png,Maize
017a3000a.png,Common Chickweed
0183fdf68.png,Loose Silky-bent
0184ec53f.png,Fat Hen
01897adc9.png,Loose Silky-bent
018c28574.png,Small-flowered Cranesbill
019c3bbea.png,Common Chickweed
019e2ca3b.png,Sugar beet
01a2ae45e.png,Scentless Mayweed
01ad79c2e.png,Loose Silky-bent
01aef64d2.png,Scentless Mayweed
01e18fd1a.png,Small-flowered Cranesbill
01e90ef62.png,Scentless Mayweed
01eef6041.png,Common Chickweed
01f145914.png,Common wheat
020ac5b06.png,Fat Hen
022179d65.png,Charlock
02460681c.png,Cleavers
024b144e3.png,Scentless Mayweed
025155400.png,Scentless Mayweed
0258481da.png,Scentless Mayweed
0260cffa8.png,Loose Silky-bent
0268ecbe2.png,Small-flowered Cranesbill
027f505f5.png,Small-flowered Cranesbill
028329f45.png,Small-flowered Cranesbill
02a67d111.png,Fat Hen
02ad544a4.png,Small-flowered Cranesbill
02ae4e8a3.png,Scentless Mayweed
02afc3d7a.png,Scentless Mayweed
02b15993e.png,Loose Silky-bent
02beb950e.png,Common Chickweed
02c95e601.png,Charlock
030e7f9ef.png,Sugar beet
03100eb7e.png,Fat Hen
0331a0d41.png,Scentless Mayweed
0366e36eb.png,Common Chickweed
0367e0199.png,Loose Silky-bent
036eca712.png,Common Chickweed
037295da4.png,Shepherds Purse
0372b48e1.png,Scentless Mayweed
0382d0faf.png,Common wheat
038850f48.png,Fat Hen
03906fdd7.png,Scentless Mayweed
03a92ad22.png,Scentless Mayweed
03bee43c0.png,Cleavers
03ee6340f.png,Scentless Mayweed
04098447d.png,Charlock
04142acb9.png,Charlock
0419f5bbc.png,Maize
0438cc647.png,Scentless Mayweed
04468fad4.png,Common wheat
04526c399.png,Common Chickweed
04559c69c.png,Cleavers
0486762e1.png,Fat Hen
04a16ff3b.png,Loose Silky-bent
04c979351.png,Sugar beet
04dff1857.png,Scentless Mayweed
04e064c46.png,Shepherds Purse
04f89976a.png,Scentless Mayweed
04fafa0d3.png,Small-flowered Cranesbill
05067feb7.png,Loose Silky-bent
0515bc601.png,Cleavers
051ea51d0.png,Maize
0522ec53b.png,Common Chickweed
0537577cd.png,Charlock
054ed75f8.png,Loose Silky-bent
055922489.png,Small-flowered Cranesbill
05598e057.png,Small-flowered Cranesbill
05ceff7d1.png,Scentless Mayweed
05e5b5cb6.png,Small-flowered Cranesbill
05ea7f987.png,Scentless Mayweed
05eedce4d.png,Loose Silky-bent
05f76f20c.png,Scentless Mayweed
05f87cff9.png,Sugar beet
060e8f499.png,Common wheat
065757bb0.png,Loose Silky-bent
066395555.png,Cleavers
066868de0.png,Loose Silky-bent
06a64ac47.png,Small-flowered Cranesbill
06a859dfd.png,Sugar beet
06bbb09fb.png,Loose Silky-bent
06e1ee6e1.png,Fat Hen
06f447848.png,Cleavers
071907a13.png,Small-flowered Cranesbill
071c8beda.png,Sugar beet
0756fd41e.png,Cleavers
075cb6666.png,Fat Hen
075d004bc.png,Loose Silky-bent
07636139b.png,Common wheat
077190c7a.png,Fat Hen
078eae073.png,Loose Silky-bent
07ac7bc07.png,Cleavers
07f867aa5.png,Scentless Mayweed
082314602.png,Loose Silky-bent
0838d0a77.png,Sugar beet
084a9cb18.png,Charlock
084d21b80.png,Common Chickweed
089859249.png,Sugar beet
08fcc43a7.png,Cleavers
0920492fd.png,Cleavers
095ba8b9d.png,Sugar beet
096ec46ec.png,Common wheat
0975602f4.png,Common wheat
09da4f213.png,Fat Hen
09f038ce4.png,Charlock
0a1e622bc.png,Cleavers
0a33283c7.png,Cleavers
0a4a26651.png,Common wheat
0a7e1ca41.png,Charlock
0ac0f0a66.png,Cleavers
0ace21089.png,Loose Silky-bent
0ad0ef03e.png,Scentless Mayweed
0ad9c629b.png,Sugar beet
0b1df6f5a.png,Shepherds Purse
0b228a6b8.png,Loose Silky-bent
0b2fba287.png,Charlock
0b3167af8.png,Charlock
0b3e7a7a9.png,Loose Silky-bent
0bb75ded8.png,Loose Silky-bent
0bdaf1d8f.png,Maize
0be707615.png,Loose Silky-bent
0bef4ae08.png,Shepherds Purse
0c4a435c7.png,Charlock
0c67c3fc3.png,Loose Silky-bent
0ca928305.png,Shepherds Purse
0cd0d9b8c.png,Charlock
0cf0581b1.png,Charlock
0d1a9985f.png,Loose Silky-bent
0d28c429b.png,Loose Silky-bent
0d5f555a3.png,Charlock
0dba71eba.png,Charlock
0ddeaa6e7.png,Scentless Mayweed
0df5ee8a2.png,Common wheat
0e93f4d05.png,Scentless Mayweed
0ec23ca76.png,Common wheat
0f16cf10a.png,Loose Silky-bent
0ff464e3e.png,Common wheat
1022cc155.png,Shepherds Purse
106bfb13a.png,Common wheat
107bd7230.png,Sugar beet
108bf8703.png,Common wheat
11b88da7c.png,Loose Silky-bent
126c8b947.png,Common wheat
